売上日,商品名,単価,数量,店舗名
2026-08-21,ワイヤレスマウス,2980,7,大阪支店
2026-08-21,ワイヤレスマウス,2980,8,福岡支店
2026-08-21,ワイヤレスマウス,2980,8,東京支店
2026-08-22,USB-C充電器,3980,3,大阪支店
2026-08-22,USB-C充電器,3980,4,東京支店
2026-08-22,USB-C充電器,3980,4,福岡支店
2026-08-23,外付けSSD 1TB,14800,1,福岡支店
2026-08-23,外付けSSD 1TB,14800,1,大阪支店
2026-08-23,外付けSSD 1TB,14800,2,東京支店
2026-08-24,ノートPCスタンド,4200,4,大阪支店
2026-08-24,HDMIケーブル,1800,7,大阪支店
2026-08-24,ノートPCスタンド,4200,5,東京支店
2026-08-24,ノートPCスタンド,4200,5,福岡支店
2026-08-24,HDMIケーブル,1800,8,福岡支店
2026-08-24,HDMIケーブル,1800,7,東京支店
2026-08-25,キーボード,6500,2,東京支店
2026-08-25,キーボード,6500,2,福岡支店
2026-08-25,キーボード,6500,3,大阪支店
2026-08-26,USB-Cハブ,4980,3,福岡支店
2026-08-26,USB-Cハブ,4980,2,大阪支店
2026-08-26,USB-Cハブ,4980,3,東京支店
2026-08-27,オフィスチェア,12800,1,福岡支店
2026-08-27,オフィスチェア,12800,1,東京支店
2026-08-27,Webカメラ,7800,4,東京支店
2026-08-27,Webカメラ,7800,4,福岡支店
2026-08-27,Webカメラ,7800,3,大阪支店
2026-08-27,オフィスチェア,12800,2,大阪支店
2026-08-28,ヘッドセット,5600,3,福岡支店
2026-08-28,ヘッドセット,5600,3,東京支店
2026-08-28,ヘッドセット,5600,2,大阪支店
2026-08-29,ワイヤレスマウス,2980,6,福岡支店
2026-08-29,ワイヤレスマウス,2980,6,東京支店
2026-08-29,ワイヤレスマウス,2980,5,大阪支店
2026-08-30,USB-C充電器,3980,4,大阪支店
2026-08-30,外付けSSD 1TB,14800,2,大阪支店
2026-08-30,USB-C充電器,3980,5,福岡支店
2026-08-30,USB-C充電器,3980,5,東京支店
2026-08-30,外付けSSD 1TB,14800,2,福岡支店
2026-08-30,外付けSSD 1TB,14800,1,東京支店
2026-08-31,HDMIケーブル,1800,9,大阪支店
2026-08-31,ノートPCスタンド,4200,4,東京支店
2026-08-31,HDMIケーブル,1800,9,東京支店
2026-08-31,HDMIケーブル,1800,10,福岡支店
2026-08-31,ノートPCスタンド,4200,5,大阪支店
2026-08-31,ノートPCスタンド,4200,4,福岡支店
